other_species_id,other_species_group,other_species_code,other_species_name,other_species_sensitive,other_species_np,other_species_size_min,other_species_size_max,other_species_unit,other_species_category,other_species_motivation,site_code,year,id_reporte,other_species_type,other_species_id_type,other_species_id_unit
5762,P,,Limonium costae (Willk.) Pignatti,,,1.0,2.0,grids10x10,R,"B,D",ES4180124,2023,135,np,203,47.0
5764,P,,Limonium delicatulum (Girard) Kuntze,,,1.0,1.0,grids1x1,P,B,ES6200028,2023,135,np,203,22.0
5767,P,,Limonium diffusum (Pourr.) Kuntze,,,,,i,R,"A,D",ES0000140,2023,135,np,203,36.0
5777,P,,Linaria arenaria DC.,,,,,,P,B,ES0000001,2023,135,np,203,
5779,P,,Linaria badalii Loscos,,,,,,P,D,ES2420037,2023,135,np,203,
5783,P,,Linaria bubanii Font Quer,,,,,,P,B,ES2410026,2023,135,np,203,
5785,P,,Linaria cavanillesii Chav.,,,3.0,8.0,grids1x1,,"B,D",ES6200022,2023,135,np,203,22.0
5787,P,,Linaria clementei Haens.,,,500.0,1000.0,i,V,"A,D",ES6170006,2023,135,np,203,36.0
5790,P,,Linaria depauperata subsp. hegelmaieri (Lange) De la Torre,,,,,,P,"A,B,D",ES4210010,2023,135,np,203,
5795,P,,Limonium toletanum Erben,,,,,,C,"B,D",ES4250008,2023,135,np,203,
5796,P,,Limonium tournefortii (Boiss.) Erben,,,,,,P,"A,B",ES0000181,2023,135,np,203,
5803,P,,Limonium dufourii (Girard) Kuntze,,,36004.0,36004.0,i,,B,ES0000148,2023,135,np,203,36.0
5805,P,,Limonium echioides (L.) Mill.,,,,,,R,D,ES0000268,2023,135,np,203,
5809,P,,Limodorum abortivum (L.) Sw.,,,,,,P,C,ES6140004,2023,135,np,203,
5811,P,,Limodorum trabutianum Batt.,,,,,,P,D,ES4310004,2023,135,np,203,
5814,P,,Limonium album (Coincy) Sennen,,,11.0,23.0,grids1x1,,"A,D",ES6200047,2023,135,np,203,22.0
5816,P,,Limonium algarvense Erben,,,,,i,R,D,ES0000140,2023,135,np,203,36.0
5817,P,,Limonium angustebracteatum Erben,,,,,,P,D,ES0000048,2023,135,np,203,
5819,P,,Limonium aragonense (Debeaux) Font Quer,,,2.0,2.0,grids1x1,,"A,B",ES0000294,2023,135,np,203,22.0
5823,P,,Limonium erectum Erben,,,,,,R,"A,B,D",ES4240018,2023,135,np,203,
5824,P,,Limonium estevei Fern. Casas,,,13637.0,,i,V,"A,B,D",ES6110005,2023,135,np,203,36.0
5827,P,,Limonium furfuraceum (Lag.) Kuntze,,,,,,,B,ES0000058,2023,135,np,203,
5829,P,,Limonium gibertii (Sennen) Sennen,,,,,,,A,ES5310105,2023,135,np,203,
5835,P,,Limonium humile Mill.,,,,,,P,D,ES1200016,2023,135,np,203,
5836,P,,Limonium insigne (Coss.) Kuntze,,,1.0,18.0,grids1x1,,"B,D",ES6200023,2023,135,np,203,22.0
5837,P,,Limonium latebracteatum Erben,,,,,,P,B,ES0000181,2023,135,np,203,
5840,P,,Limonium lobetanicum Erben,,,,,,P,"A,B,D",ES4210001,2023,135,np,203,
5841,P,,Limonium longebracteatum Erben,,,,,,P,"A,B,D",ES0000013,2023,135,np,203,
5845,P,,Limonium malacitanum Díez Garretas,1.0,,813.0,813.0,i,R,"A,B,D",ES6170002,2023,135,np,203,36.0
5850,P,,Limonium minus (Boiss.) Erben,,,3000.0,10000.0,i,C,"A,D",ES6110004,2023,135,np,203,36.0
5851,P,,Limonium dragonericum Erben,,,,,,,B,ES0000221,2023,135,np,203,
5856,P,,Limonium lanceolatum (Hoffmans. & Link) Franco,,,,,i,P,,ES6120006,2023,135,p,201,36.0
5856,P,,Limonium lanceolatum (Hoffmans. & Link) Franco,,,,,,P,,ES6150006,2023,135,pd,204,
5856,P,,Limonium ovalifolium (Poir.) Kuntze,,,,,,P,D,ES2130003,2023,135,np,203,
5859,P,,Limonium biflorum (Pignatti) Pignatti,,,,,,C,"B,D",ES0000236,2023,135,np,203,
5863,P,,Limonium caesium (Girard) Kuntze,,,,,,C,B,ES0000195,2023,135,np,203,
5865,P,,Limonium caprariense (Font Quer & Marcos) Pignatti,,,,,,,B,ES0000074,2023,135,np,203,
5866,P,,Limonium carpetanicum Erben,,,,,,P,"A,B,D",ES0000013,2023,135,np,203,
5868,P,,Limonium carthaginense (Rouy) C.E. Hubb. & Sandwith,,,,,,C,A,ES0000199,2023,135,np,203,
5869,P,,Limonium catalaunicum (Willk. & Costa) Pignatti,,,1.0,1.0,grids1x1,,B,ES0000183,2023,135,np,203,22.0
5870,P,,Limonium cavanillesii Erben,,,,,,,A,ES0000444,2023,135,np,203,
5871,P,,Limonium cofrentanum Erben,,,,,,V,"A,B,D",ES4230013,2023,135,np,203,
5872,P,,Limonium emarginatum (Willd.) Kuntze,,,2719.0,3500.0,i,V,"A,B,D",ES0000337,2023,135,np,203,36.0
5873,P,,Limonium parvibracteatum Pignatti,,,,,,,B,ES0000059,2023,135,np,203,
5880,P,,Limonium quesadense Erben,,,9.0,9.0,tufts,V,"A,B,D",ES6160011,2023,135,np,203,41.0
5883,P,,Limonium rigualii M.B. Crespo & Erben,,,,,,,B,ES0000454,2023,135,np,203,
5884,P,,Limonium ruizii (Font Quer) Fern. Casas,,,1.0,1.0,grids1x1,,"A,B",ES0000293,2023,135,np,203,22.0
5885,P,,Limonium santapolense Erben,,,,,,,B,ES0000058,2023,135,np,203,
5889,P,,Limonium soboliferum Erben,,,,,,P,"A,B,D",ES0000161,2023,135,np,203,
5890,P,,Limonium squarrosum Erben,,,,,,V,"A,B,D",ES4250010,2023,135,np,203,
5891,P,,Limonium stenophyllum Erben,,,9.0,9.0,grids1x1,,"A,B",ES0000181,2023,135,np,203,22.0
5892,P,,Limonium subglabrum Erben,,,1790.0,1803.0,i,P,"A,B,D",ES6140012,2023,135,np,203,36.0
5893,P,,Limonium sucronicum Erben,,,,,,P,"A,B,D",ES4210001,2023,135,np,203,
5894,P,,Limonium supinum (Girard) Pignatti,,,,,,P,"B,D",ES4210011,2023,135,np,203,
5895,P,,Limonium tabernense Erben,,,10.0,,localities,R,"A,B,D",ES0000047,2023,135,np,203,35.0
5898,P,,Limonium thiniense Erben,,,,,,P,"A,B,D",ES0000153,2023,135,np,203,
5899,P,,Limonium viciosoi (Pau) Erben,,,2.0,2.0,grids1x1,,"A,B",ES2430101,2023,135,np,203,22.0
5901,P,,Limonium vulgare Mill.,,,,,,P,D,ES0000318,2023,135,np,203,
5906,P,,Linaria aeruginea (Gouan) Cav.,,,,,,,B,ES0000073,2023,135,np,203,
5912,P,,Linaria alpina (L.) Mill.,,,,,,P,D,ES2430028,2023,135,np,203,
5923,P,,Lycium intricatum Boiss.,,,1.0,1.0,grids1x1,,D,ES0000200,2023,135,np,203,22.0
5925,P,,Lycocarpus fugax (Lag.) O.E. Schulz,,,,,,P,D,ES0000046,2023,135,np,203,
5931,P,,Listera ovata (L.) R. Br.,,,365.0,485.0,i,R,D,ES0000035,2023,135,np,203,36.0
5937,P,,Linaria glacialis Boiss.,,,,,i,P,"A,B,D",ES6140004,2023,135,np,203,36.0
5940,P,,Linaria glauca subsp. olcadium Valdés & D.A. Webb,,,,,,C,"B,D",ES4210002,2023,135,np,203,
5944,P,,Linaria intricata Coincy,,,1.0,1.0,grids10x10,V,"A,B",ES4150096,2023,135,np,203,47.0
5948,P,,Linaria munbyana Boiss. & Reut.,,,,,i,R,"A,D",ES6120008,2023,135,np,203,36.0
5949,P,,Linaria nigricans Lange,,,1.0,,localities,P,"A,B,D",ES0000045,2023,135,np,203,35.0
5956,P,,Linaria oligantha Lange,,,2.0,,localities,P,D,ES6110005,2023,135,np,203,35.0
5960,P,,Linaria pedunculata (L.) Chaz.,,,1.0,,localities,P,"A,D",ES0000046,2023,135,np,203,35.0
5962,P,,Linaria platycalyx Boiss.,,,300.0,,i,R,"A,B,D",ES6120013,2023,135,np,203,36.0
5977,P,,Linaria supina (L.) Chaz.,,,,,,P,D,ES2120004,2023,135,np,203,
5979,P,,Linaria supina subsp. maritima (Lam. & DC.) M. Laínz,,,,,,P,D,ES0000319,2023,135,np,203,
5984,P,,Linaria tursica,,,125987.0,127177.0,i,P,,ES0000024,2023,135,p,201,36.0
5998,P,,Littorella uniflora (L.) Asch.,,,,,,C,D,ES4240005,2023,135,np,203,
6000,P,,Lobelia urens L.,,,,,,C,D,ES4220017,2023,135,np,203,
6005,P,,Luzula sylvatica (Huds.) Gaudin,,,,,,P,D,ES0000057,2023,135,np,203,
6007,P,,Lychnis alpina L.,,,1.0,1.0,grids10x10,V,D,ES0000003,2023,135,np,203,47.0
6016,P,,Lobularia maritima subsp. columbretensis R. Fern.,,,,,,,B,ES0000061,2023,135,np,203,
6017,P,,Loeflingia baetica Lag.,,,1.0,,localities,P,D,ES6110005,2023,135,np,203,35.0
6024,P,,Lomelosia graminifolia (L.) Greuter & Burdet,,,1.0,1.0,grids10x10,R,D,ES4120025,2023,135,np,203,47.0
6035,P,,Lonicera biflora Desf.,,,1.0,,localities,V,D,ES6110001,2023,135,np,203,35.0
6037,P,,Lonicera etrusca Santi,,,,,,P,D,ES0000173,2023,135,np,203,
6038,P,,Lonicera implexa Aiton,,,,,,P,D,ES2410012,2023,135,np,203,
6046,P,,Lonicera pyrenaica L. subsp. pyrenaica,,,25.0,150.0,i,R,D,ES6110003,2023,135,np,203,36.0
6047,P,,Lonicera pyrenaica subsp. majoricensis (Gand.) Gand.,,,,,,,B,ES0000073,2023,135,np,203,
6048,P,,Lonicera splendida Boiss.,,,5.0,5.0,grids1x1,,D,ES0000262,2023,135,np,203,22.0
6050,P,,Lonicera xylosteum L.,,,,,,P,D,ES2420038,2023,135,np,203,
6057,P,,Lotus corniculatus L.,,,,,,P,B,ES0000014,2023,135,np,203,
6062,P,,Lotus corniculatus subsp. glacialis (Boiss.) Valdés,,,,,tufts,V,D,ES6140001,2023,135,np,203,41.0
6075,P,,Lotus tetraphyllus L.,,,,,,,B,ES0000073,2023,135,np,203,
6093,P,,Luronium natans,,,,1.0,grids1x1,P,,ES5130004,2023,135,p,201,22.0
6098,P,,Luzula caespitosa (E. Mey.) Steud.,,,,,,P,D,ES0000057,2023,135,np,203,
6117,P,,Lythrum baeticum Gonz. Albo,,,,,,P,"A,D",ES0000153,2023,135,np,203,
6118,P,,Lythrum borysthenicum (Schrank) Litv.,,,,,,C,D,ES4240005,2023,135,np,203,
6119,P,,Lythrum flexuosum,,1.0,,,,P,,ES0000068,2023,135,p,201,
6119,P,1598,Lythrum flexuosum,,1.0,,,,P,,ES0000393,2023,135,p,201,
6120,P,,Lythrum hyssopifolia L.,,,,,,P,D,ES0000398,2023,135,np,203,
6126,P,,Lythrum tribracteatum Spreng.,,,,,,P,B,ES0000183,2023,135,np,203,
6151,P,,Melilotus speciosus Durieu,,,333.0,383.0,i,V,D,ES0000031,2023,135,np,203,36.0
6152,P,,Mentha longifolia (L.) Huds.,,,,,,P,D,ES2410018,2023,135,np,203,
6153,P,,Mentha pulegium L.,,,,,,P,D,ES0000275,2023,135,np,203,
6159,P,,Menyanthes trifoliata L.,,1.0,,,,P,D,ES2110009,2023,135,np,203,
6162,P,,Mercurialis elliptica Poir.,,,,,,P,D,ES4250001,2023,135,np,203,
6166,P,,Mercurialis reverchonii Rouy,,,,,i,R,"A,D",ES0000049,2023,135,np,203,36.0
6169,P,,Merendera filifolia Cambess.,,,1.0,1.0,grids1x1,,D,ES0000260,2023,135,np,203,22.0
6170,P,,Merendera montana (L.) Lange,,,,,,P,B,ES0000016,2023,135,np,203,
6177,P,,Meum athamanticum Jacq.,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
6179,P,,Microcnemum coralloides (Loscos & J. Pardo) Buen,,,1.0,1.0,grids1x1,,A,ES0000017,2023,135,np,203,22.0
6180,P,,Microcnemum coralloides (Loscos & J.Pardo) Buen subsp. coralloides,,,,,,P,"A,B,D",ES4210011,2023,135,np,203,
6181,P,,Malcolmia littorea (L.) R.Br. in W.T.Aiton,,,,,,P,D,ES0000048,2023,135,np,203,
6190,P,,Malus sylvestris (L.) Mill.,,,7.0,7.0,i,P,D,ES0000053,2023,135,np,203,36.0
6216,P,,Maresia nana (DC.) Batt.,,,2.0,,localities,P,D,ES0000046,2023,135,np,203,35.0
6224,P,,Marsilea batardae,,1.0,,,,P,,ES4310042,2023,135,p,201,
6224,P,1427,Marsilea batardae,,1.0,,,,,,ES0000400,2023,135,p,201,
6226,P,1428,Marsilea quadrifolia,,,,,,P,,ES0000471,2023,135,p,201,
6227,P,,Marsilea strigosa,,1.0,,,,R,,ES0000025,2023,135,c,202,
6227,P,,Marsilea strigosa,,,155.0,155.0,area,V,,ES6160006,2023,135,p,201,9.0
6227,P,1429,Marsilea strigosa,,1.0,,,,P,,ES0000325,2023,135,p,201,
6241,P,,Medicago secundiflora Durieu,,,,,,V,D,ES0000173,2023,135,np,203,
6257,P,,Maytenus senegalensis (Lam.) Exell,,,1.0,1.0,localities,R,"A,D",ES0000048,2023,135,np,203,35.0
6258,P,,Maytenus senegalensis subsp. europaea (Boiss.) Güemes & M.B. Crespo,,,2.0,2.0,grids1x1,,D,ES0000260,2023,135,np,203,22.0
6264,P,,Medicago citrina (Font Quer) Greuter,,,,,,,A,ES0000061,2023,135,np,203,
6277,P,,Medicago marina L.,,,,,,P,D,ES0000144,2023,135,np,203,
6295,P,,Murbeckiella boryi (Boiss.) Rothm.,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
6326,P,,Mentha arvensis L.,,,,,,P,D,ES4240016,2023,135,np,203,
6327,P,,Mentha cervina L.,,,,,,C,D,ES4240005,2023,135,np,203,
6331,P,,Micromeria filiformis (Aiton) Benth.,,,,,,,B,ES0000073,2023,135,np,203,
6332,P,,Micromeria fruticosa (L.) Druce,,,,,,R,D,ES6200008,2023,135,np,203,
6335,P,,Micromeria inodora (Desf.) Benth.,,,1.0,,localities,P,D,ES0000046,2023,135,np,203,35.0
6337,P,,Micromeria microphylla (d´Urv.) Benth.,,,,,,,B,ES0000037,2023,135,np,203,
6343,P,,Minuartia cerastiifolia (DC.) Graebn.,,,,,,R,B,ES0000016,2023,135,np,203,
6357,P,,Minuartia recurva (All.) Schinz & Thell.,,,,,,R,D,ES0000164,2023,135,np,203,
6363,P,,Minuartia valentina (Pau) Sennen,,,,,,,B,ES0000446,2023,135,np,203,
6365,P,,Minuartia villarii (Balb.) Wilczek & Chenevard,,,,,,P,D,ES2410059,2023,135,np,203,
6375,P,,Moehringia fontqueri Pau,,,,,i,P,"A,B,D,IV",ES6140004,2023,135,np,203,36.0
6389,P,,Hypopitys monotropa Crantz,1.0,,2.0,2.0,tufts,V,D,ES6110003,2023,135,np,203,41.0
6403,P,,Moricandia moricandioides (Boiss.) Heywood subsp. moricandioides,,,3.0,3.0,grids10x10,R,"B,D",ES4140053,2023,135,np,203,47.0
6419,P,,Najas marina L.,,,1.0,1.0,grids1x1,V,D,ES4130117,2023,135,np,203,22.0
8773,P,,Teucrium asiaticum L.,,,,,,,B,ES0000073,2023,135,np,203,
6423,P,1860,Narcissus fernandesii Pedro,,,1.0,2.0,grids1x1,,,ES0000329,2023,135,p,201,22.0
6425,P,1864,Narcissus bulbocodium,,,1.0,1.0,grids10x10,R,V,ES0000115,2023,135,np,203,47.0
6426,P,,Nuphar luteum (L.) Sm. in Sibth. & Sm. subsp. luteum,,,,,,P,D,ES4210006,2023,135,np,203,
6430,P,,Nymphaea alba L.,,,1.0,1.0,grids10x10,R,D,ES4160106,2023,135,np,203,47.0
6440,P,,Odontites kaliformis (Pourr. ex Willd.) Pau,,,793.0,793.0,i,,D,ES0000148,2023,135,np,203,36.0
6442,P,,Odontites luteus (L.) Clairv.,,,30.0,50.0,i,V,D,ES6160007,2023,135,np,203,36.0
6451,P,,Odontites viscosus subsp. australis (Boiss.) Jahand. & Maire,,,,,,R,D,ES6200009,2023,135,np,203,
6452,P,,Odontites viscosus subsp. granatensis,1.0,,4248.0,9000.0,i,V,,ES6140004,2023,135,p,201,36.0
6479,P,,Myosurus minimus L.,,,,,i,P,D,ES6140002,2023,135,np,203,36.0
6482,P,,Myrica gale L.,,,1.0,1.0,grids10x10,V,"A,D",ES4120049,2023,135,np,203,47.0
6486,P,,Myricaria germanica (L.) Desv.,,,,,,P,D,ES2410017,2023,135,np,203,
6487,P,,Myriophyllum alterniflorum DC.,,,,,,P,D,ES0000318,2023,135,np,203,
6491,P,,Myriophyllum spicatum L.,,,,,,P,D,ES6110001,2023,135,np,203,
6492,P,,Myriophyllum verticillatum L.,,,,,,P,D,ES0000275,2023,135,np,203,
6498,P,,Myrtus communis L.,,,3.0,3.0,grids1x1,R,D,ES6200045,2023,135,np,203,22.0
6499,P,,Narcissus cantabricus DC.,,,,,,P,D,ES0000072,2023,135,np,203,
6500,P,,Narcissus cavanillesii,,,276.0,276.0,i,,,ES0000069,2023,135,p,201,36.0
6500,P,6276,Narcissus cavanillesii,,1.0,,,,R,,ES0000014,2023,135,p,201,
6502,P,1600,Naufraga balearica,,,,,,P,,ES0000073,2023,135,p,201,
6506,P,,Neotinea maculata (Desf.) Stearn,,,,,,P,C,ES6140004,2023,135,np,203,
6509,P,,Neotorularia torulosa (Desf.) Hedge & J. Léonard,,,3.0,3.0,grids1x1,,D,ES0000262,2023,135,np,203,22.0
6511,P,,Neottia nidus-avis (L.) Rich.,1.0,,,,shoots,P,"C,D",ES6140005,2023,135,np,203,14.0
6512,P,,Nepeta apuleji Ucria,,,215.0,215.0,i,V,D,ES0000031,2023,135,np,203,36.0
6514,P,1862,Narcissus cyclamineus,,,,,,P,,ES0000374,2023,135,p,201,
6515,P,,Narcissus dubius Gouan,,,1.0,1.0,grids1x1,R,D,ES6200028,2023,135,np,203,22.0
6516,P,,Narcissus elegans (Haw.) Spach,,,,,,P,"A,D",ES6170012,2023,135,np,203,
6517,P,,Narcissus gaditanus Boiss. & Reut.,,,1.0,,localities,P,"A,D",ES6110005,2023,135,np,203,35.0
6521,P,,Narcissus jonquilla L.,,,2.0,2.0,grids10x10,V,"B,D",ES4190033,2023,135,np,203,47.0
6531,P,,Narcissus poeticus L.,,,,,,V,D,ES0000129,2023,135,np,203,
6532,P,,Narcissus pseudonarcissus L.,,,,,,R,A,ES2110010,2023,135,np,203,
6534,P,,Narcissus pseudonarcissus subsp. munozii-garmendiae (Fern. Casas) Fern. Casas,,,,,,R,"A,B,D",ES0000090,2023,135,np,203,
6536,P,,Narcissus pseudonarcissus subsp. portensis (Pugsley) A. Fern.,,,,,,P,"B,D",ES4220019,2023,135,np,203,
6537,P,,Narcissus rupicola Schult. f.,,,,,,P,D,ES0000072,2023,135,np,203,
6543,P,,Narcissus triandrus L.,,,35.0,35.0,tufts,V,"D,IV",ES0000035,2023,135,np,203,41.0
6543,P,1996,Narcissus triandrus,,,-1.0,,i,,"B,IV",ES0000300,2023,135,np,203,36.0
6546,P,,Narcissus viridiflorus,,,392.0,800.0,i,R,,ES0000337,2023,135,p,201,36.0
6550,P,,Nepeta hispanica Boiss. & Reut.,,,1.0,1.0,grids10x10,V,"A,D",ES4140053,2023,135,np,203,47.0
6553,P,,Nepeta multibracteata Desf.,,,1.0,1.0,grids10x10,V,D,ES4150096,2023,135,np,203,47.0
6558,P,,Nepeta nepetella subsp. murcica (Willk.) Aedo,,,1.0,1.0,grids10x10,P,D,ES0000257,2023,135,np,203,47.0
6559,P,,Nepeta tuberosa L.,,,,,,P,D,ES0000276,2023,135,np,203,
6561,P,,Nerium oleander L.,,,,,,P,D,ES0000052,2023,135,np,203,
6578,P,,Nigella papillosa subsp. atlantica (Murb.) G. López,,,,,,P,D,ES0000276,2023,135,np,203,
6581,P,,Nigritella gabasiana Teppner & Klein,,,,,,P,"A,D",ES2110009,2023,135,np,203,
6591,P,,Onosma tricerosperma Lag.,,,5.0,5.0,i,V,D,ES6110004,2023,135,np,203,36.0
6592,P,,Onosma tricerosperma Lag. subsp. tricerosperma,,,,,,P,"B,D",ES4210016,2023,135,np,203,
6596,P,,Ophioglossum azoricum C. Presl,,,,,,P,D,ES4250005,2023,135,np,203,
6598,P,,Ophioglossum lusitanicum L.,,,,,,P,D,ES2130002,2023,135,np,203,
6599,P,,Ophioglossum vulgatum L.,,,16.0,16.0,tufts,V,D,ES6140005,2023,135,np,203,41.0
6600,P,,Ophrys apifera Huds.,,,,,,P,C,ES6140004,2023,135,np,203,
6601,P,,Ophrys atlantica Munby,,,19.0,19.0,i,V,D,ES0000031,2023,135,np,203,36.0
6602,P,,Ophrys aveyronensis (J.J. Wood) P. Delforge,,,,,,P,D,ES0000244,2023,135,np,203,
6604,P,,Ophrys bertolonii subsp. balearica (P. Delforge) L. Sáez & Rosselló,,,,,,,B,ES0000145,2023,135,np,203,
6607,P,,Ophrys fusca Link,,,,,,P,C,ES6140004,2023,135,np,203,
6625,P,,Notoceras bicorne (Aiton) Amo,,,1.0,20.0,grids1x1,,D,ES6200046,2023,135,np,203,22.0
6627,P,,Nuphar luteum (L.) Sm. in Sibth. & Sm.,,,,,,P,D,ES0000024,2023,135,np,203,
6629,P,,Oenanthe pimpinelloides L.,,,,,i,R,D,ES6120008,2023,135,np,203,36.0
6644,P,,Olea europaea L.,,,,,,P,D,ES0000144,2023,135,np,203,
6665,P,,Onobrychis pyrenaica (Sennen) Širj.,,,,,,P,B,ES0000016,2023,135,np,203,
6672,P,,Ononis alopecuroides L. subsp. alopecuroides,,,,,i,R,D,ES6120003,2023,135,np,203,36.0
6673,P,,Ononis aragonensis Asso,,,,,,P,D,ES0000173,2023,135,np,203,
6674,P,,Ononis azcaratei Devesa,,,6247.0,8087.0,i,R,"A,B,D",ES6120015,2023,135,np,203,36.0
6678,P,,Ononis cephalotes Boiss.,,,,,,P,D,ES6200019,2023,135,np,203,
6679,P,,Ononis cintrana Brot.,,,3500.0,,i,P,D,ES0000051,2023,135,np,203,36.0
6680,P,,Ononis cossoniana Boiss. & Reut.,,,,,i,R,D,ES0000337,2023,135,np,203,36.0
6681,P,,Ononis crispa L.,,,,,,C,"B,D",ES0000236,2023,135,np,203,
6682,P,,Ononis cristata Mill.,,,,,i,P,"A,D",ES6140004,2023,135,np,203,36.0
6692,P,,Ononis leucotricha Coss.,,,487.0,,i,R,"A,D",ES0000049,2023,135,np,203,36.0
6704,P,,Ononis ramosissima Desf.,,,,,,P,D,ES2130003,2023,135,np,203,
6708,P,,Ononis reuteri Boiss.,,,15000.0,20000.0,area,C,"A,D",ES6170006,2023,135,np,203,9.0
6709,P,,Ononis rotundifolia L.,,,1.0,1.0,grids10x10,V,D,ES4170056,2023,135,np,203,47.0
6712,P,,Ononis speciosa Lag.,,,4.0,9.0,grids1x1,,D,ES6200047,2023,135,np,203,22.0
6720,P,,Ononis tournefortii Coss.,,,,,i,R,D,ES0000140,2023,135,np,203,36.0
6721,P,,Ononis tridentata L.,,,,,,P,B,ES2420121,2023,135,np,203,
6725,P,,Ononis varelae Devesa,,,500.0,500.0,i,P,"A,B,D",ES0000053,2023,135,np,203,36.0
6738,P,,"Onopordum hinojense Talavera, Balao, Casim-Sor., M. Talavera, Terrab & M.Á. Ortiz",,,,,,P,B,ES6150009,2023,135,np,203,
6743,P,,Ophrys insectifera L.,,,1.0,1.0,grids10x10,V,D,ES0000003,2023,135,np,203,47.0
6744,P,,Ophrys insectifera L. subsp. insectifera,,,,,,R,D,ES4240016,2023,135,np,203,
6745,P,,Ophrys insectifera subsp. aymoninii Breistr.,,,,,,V,D,ES4230014,2023,135,np,203,
6747,P,,Ophrys lutea Cav.,,,,,,P,C,ES6140004,2023,135,np,203,
6748,P,,Ophrys scolopax Cav.,,,,,,P,C,ES6140004,2023,135,np,203,
6749,P,,Ophrys speculum Link,,,,,,P,D,ES0000069,2023,135,np,203,
6751,P,,Ophrys speculum subsp. lusitanica O. Danesch & E. Danesch,,,4.0,4.0,i,R,D,ES0000035,2023,135,np,203,36.0
6753,P,,Ophrys tenthredinifera Willd.,,,,,,P,C,ES6140004,2023,135,np,203,
6769,P,,Paronychia kapela subsp. baetica P. Küpfer,,,,,,R,B,ES6200016,2023,135,np,203,
6778,P,,Orchis ustulata L.,,,,,,R,"A,C",ES2120006,2023,135,np,203,
6779,P,,Origanum compactum Benth.,,,248.0,,i,R,"A,D",ES0000049,2023,135,np,203,36.0
6788,P,,Ornithogalum arabicum L.,,,,,i,R,D,ES0000140,2023,135,np,203,36.0
6797,P,1839,Ornithogalum reverchonii,,,35.0,55.0,i,V,"D,IV",ES0000035,2023,135,np,203,36.0
6801,P,,Ornithopus pinnatus (Mill.) Druce,,,,,,P,B,ES1110001,2023,135,np,203,
6806,P,,Orobanche alba Willd.,,,1.0,,localities,P,D,ES6110008,2023,135,np,203,35.0
6808,P,,Orobanche amethystea Thuill.,,,,,,P,A,ES0000014,2023,135,np,203,
6815,P,,Pastinaca lucida L.,,,,,,,B,ES0000073,2023,135,np,203,
6818,P,,Pastinaca sativa subsp. sylvestris (Mill.) Rouy & E.G.Camus,,,,,,V,D,ES6200018,2023,135,np,203,
6823,P,,Orchis cazorlensis Lacaita,,,1.0,1.0,grids10x10,V,"B,D",ES4120030,2023,135,np,203,47.0
6824,P,,Orchis collina Russell,,,,,,P,D,ES0000325,2023,135,np,203,
6825,P,,Orchis conica Willd.,,,,,,P,D,ES0000069,2023,135,np,203,
6826,P,,Orchis coriophora L.,,,,,,P,C,ES6140004,2023,135,np,203,
6827,P,,Orchis italica Poir.,,,,,,P,D,ES0000014,2023,135,np,203,
6829,P,,Orchis langei K. Richt.,,,,,,P,A,ES0000014,2023,135,np,203,
6830,P,,Orchis laxiflora Lam.,,,,,,P,D,ES0000069,2023,135,np,203,
6832,P,,Orchis mascula (L.) L.,,,,,,P,C,ES6140004,2023,135,np,203,
6834,P,,Orchis morio L.,,,,,,P,D,ES0000072,2023,135,np,203,
6835,P,,Orchis pallens L.,,,1.0,1.0,grids10x10,V,D,ES4130050,2023,135,np,203,47.0
6837,P,,Orchis papilionacea L.,,,1.0,2.0,grids10x10,V,D,ES4130003,2023,135,np,203,47.0
6838,P,,Orchis provincialis Lam. & DC.,,,,,,R,"C,D",ES0000125,2023,135,np,203,
6839,P,,Orchis purpurea Huds.,,,,,,R,D,ES6200017,2023,135,np,203,
6841,P,,Orobanche almeriensis A. Pujadas,,,3.0,,localities,P,"A,B,D",ES6110006,2023,135,np,203,35.0
6848,P,,Orobanche densiflora,,,,,i,P,,ES6120008,2023,135,pd,204,36.0
6848,P,,Orobanche densiflora,,,,,i,R,,ES0000140,2023,135,p,201,36.0
6852,P,,Orobanche haenseleri Reut.,,,,,,V,A,ES6200018,2023,135,np,203,
6861,P,,Orobanche ramosa L.,,,,,,P,A,ES0000014,2023,135,np,203,
6866,P,,Orobanche reticulata Wallr.,,,2.0,2.0,grids10x10,V,A,ES0000003,2023,135,np,203,47.0
6871,P,,Orobanche tunetana Beck,,,1.0,1.0,grids1x1,V,D,ES6200028,2023,135,np,203,22.0
6876,P,,Orthilia secunda (L.) House,,,,,,V,D,ES4230014,2023,135,np,203,
6878,P,,Osmunda regalis L.,,,3.0,3.0,i,P,D,ES6150021,2023,135,np,203,36.0
6880,P,,Osyris alba L.,,,1.0,1.0,grids1x1,R,D,ES6200045,2023,135,np,203,22.0
6882,P,,Osyris lanceolata Hochst. & Steud.,,,1.0,1.0,grids1x1,,D,ES0000200,2023,135,np,203,22.0
6887,P,,Papaver lapeyrousianum Gutermann,,,,,i,P,D,ES6140004,2023,135,np,203,36.0
6899,P,,Oxyria digyna (L.) Hill,,,,,,P,D,ES2410059,2023,135,np,203,
6905,P,,Oxytropis foucaudii Gillot,,,1.0,1.0,grids10x10,V,"B,D",ES0000003,2023,135,np,203,47.0
