CUADRICULA,CCAA,Provincia
29TNM60,,
29TML39,,
29TNM70,,
29TML49,,
29TML59,,
29TML69,,
29TML79,,
29TML89,,
29TML99,,
29TNL09,,
29TLL78,,
29TNL19,,
29TLL88,,
29TNL29,,
29TLL98,,
29TNL39,,
29TML08,,
29TNL49,,
29TML18,,
29TNL59,,
29TML28,,
29TNL69,,
29TML38,,
29TNL79,,
29TML48,,
29TML58,,
29TML68,,
29TML78,,
29TML88,,
29TML98,,
29TNL08,,
29TNL18,,
29TLL87,,
29TNL28,,
29TLL97,,
29TNL38,,
29TML07,,
29TNL48,,
29TML17,,
29TNL58,,
29TML27,,
29TNL68,,
29TML37,,
29TNL78,,
29TML47,,
29TML57,,
29TML67,,
29TML77,,
29TML87,,
29TML97,,
29TNL07,,
29TNL17,,
29TLL86,,
29TNL27,,
29TLL96,,
29TNL37,,
29TML06,,
29TNL47,,
29TML16,,
29TNL57,,
29TML26,,
29TNL67,,
29TML36,,
29TNL77,,
29TML46,,
29TML56,,
29TML66,,
29TML76,,
29TML86,,
29TML96,,
29TNL06,,
29TNL16,,
29TNL26,,
29TLL95,,
29TNL36,,
29TML05,,
29TNL46,,
29TML15,,
29TNL56,,
29TML25,,
29TNL66,,
29TML35,,
29TNL76,,
29TML45,,
29TML55,,
29TML65,,
29TML75,,
29TML85,,
29TML95,,
29TNL05,,
29TNL15,,
29TNL25,,
29TNL35,,
29TML04,,
29TNL45,,
29TML14,,
29TNL55,,
29TML24,,
29TNL65,,
29TML34,,
29TNL75,,
29TML44,,
29TML54,,
29TML64,,
29TML74,,
29TML84,,
29TML94,,
29TNL04,,
29TNL14,,
29TNL24,,
29TNL34,,
29TML03,,
29TNL44,,
29TML13,,
29TNL54,,
29TML23,,
29TNL64,,
29TML33,,
29TNL74,,
29TML43,,
29TML53,,
29TML63,,
29TML73,,
29TML83,,
29TML93,,
29TNL03,,
29TNL13,,
29TNL23,,
29TNL33,,
29TNL43,,
29TML12,,
29TNL53,,
29TML22,,
29TNL63,,
29TML32,,
29TNL73,,
29TML42,,
29TML52,,
29TML62,,
29TML72,,
29TML82,,
29TML92,,
29TNL02,,
29TNL12,,
29TNL22,,
29TNL32,,
29TNL42,,
29TNL52,,
29TML21,,
29TNL62,,
29TML31,,
29TNL72,,
29TML41,,
29TML51,,
29TML61,,
29TML71,,
29TML81,,
29TML91,,
29TNL01,,
29TNL11,,
29TNL21,,
29TNL31,,
29TNL41,,
29TNL51,,
29TML20,,
29TNL61,,
29TML30,,
29TNL71,,
29TML40,,
29TML50,,
29TML60,,
29TML70,,
29TML80,,
29TML90,,
29TNL00,,
29TNL10,,
29TNL20,,
29TNL30,,
29TNL40,,
29TNL50,,
29TNL60,,
29TMK39,,
29TNL70,,
29TMK49,,
29TMK59,,
29TMK69,,
29TMK79,,
29TMK89,,
29TMK99,,
29TNK09,,
29TNK19,,
29TNK29,,
29TNK39,,
29TNK49,,
29TNK59,,
29TNK69,,
29TNK79,,
29TMK48,,
29TMK58,,
29TMK68,,
29TMK78,,
29TMK88,,
29TMK98,,
29TNK08,,
29TNK18,,
29TNK28,,
29TNK38,,
29TNK48,,
29TNK58,,
29TNK68,,
29TNK78,,
29TMK47,,
29TMK57,,
29TMK67,,
29TMK77,,
29TMK87,,
29TMK97,,
29TNK07,,
29TNK17,,
29TNK27,,
29TNK37,,
29TNK47,,
29TNK57,,
29TNK67,,
29TNK77,,
29TMK56,,
29TMK66,,
29TMK76,,
29TMK86,,
29TMK96,,
29TNK06,,
29TNK16,,
29TNK26,,
29TNK36,,
29TNK46,,
29TNK56,,
29TNK66,,
29TNK76,,
29TMK65,,
29TMK75,,
29TMK85,,
29TMK95,,
29TNK05,,
29TNK15,,
29TNK25,,
29TNK35,,
29TNK45,,
29TNK55,,
29TNK65,,
29TNK75,,
29TMK64,,
29TMK74,,
29TMK84,,
29TMK94,,
29TNK04,,
29TNK14,,
29TNK24,,
29TNK34,,
29TNK44,,
29TNK54,,
29TNK64,,
29TNK74,,
29TMK73,,
29TMK83,,
29TMK93,,
29TNK03,,
29TNK13,,
29TNK23,,
29TNK33,,
29TNK43,,
29TNK53,,
29TNK63,,
29TNK73,,
29TMK82,,
29TMK92,,
29TNK02,,
29TNK12,,
29TNK22,,
29TNK32,,
29TNK42,,
29TNK52,,
29TNK62,,
29TNK72,,
29TMK91,,
29TNK01,,
29TNK11,,
29TNK21,,
29TNK31,,
29TNK41,,
29TNK51,,
29TNK61,,
29TNK71,,
29TNK00,,
29TNK10,,
29TNK20,,
29TNK30,,
29TNK40,,
29TNK50,,
29TNK60,,
29TNK70,,
29TNJ19,,
29TNJ29,,
29TNJ39,,
29TNJ49,,
29TNJ59,,
29TNJ69,,
29TNJ79,,
29TNJ28,,
29TNJ38,,
29TNJ48,,
29TNJ58,,
29TNJ68,,
29TNJ78,,
29TNJ37,,
29TNJ47,,
29TNJ57,,
29TNJ67,,
29TNJ77,,
29TNJ46,,
29TNJ56,,
29TNJ66,,
29TNJ76,,
29TNJ55,,
29TNJ65,,
29TNJ75,,
29TNJ64,,
29TNJ74,Galicia,A Coruña
29TNM83,,
29TNM82,,
29TNM81,,
29TNM80,,
29TNL89,,
29TNL88,,
29TNL87,,
29TNL86,,
29TNL85,,
29TNL84,,
29TNL83,,
29TNL82,,
29TNL81,,
29TNL80,,
29TNK89,,
29TNK88,,
29TNK87,,
29TNK86,,
29TNK85,,
29TNK84,,
29TNK83,,
29TNK82,,
29TNK81,,
29TNK80,,
29TNJ89,,
29TNJ88,,
29TNJ87,,
29TNJ86,,
29TNJ85,,
29TNJ84,Galicia,A Coruña
29TNM93,,
29TNM92,,
29TNM91,,
29TNM90,,
29TNL99,,
29TNL98,,
29TNL97,,
29TNL96,,
29TNL95,,
29TNL94,,
29TNL93,,
29TNL92,,
29TNL91,,
29TNL90,,
29TNK99,,
29TNK98,,
29TNK97,,
29TNK96,,
29TNK95,,
29TNK94,,
29TNK93,,
29TNK92,,
29TNK91,,
29TNK90,,
29TNJ99,,
29TNJ98,,
29TNJ97,,
29TNJ96,,
29TNJ95,,
29TNJ94,Galicia,A Coruña
29TPM02,,
29TPM01,,
29TPM00,,
29TPL09,,
29TPL08,,
29TPL07,,
29TPL06,,
29TPL05,,
29TPL04,,
29TPL03,,
29TPL02,,
29TPL01,,
29TPL00,,
29TPK09,,
29TPK08,,
29TPK07,,
29TPK06,,
29TPK05,,
29TPK04,,
29TPK03,,
29TPK02,,
29TPK01,,
29TPK00,,
29TPJ09,,
29TPJ08,,
29TPJ07,,
29TPJ06,,
29TPJ05,,
29TPJ04,Galicia,Lugo
29TPJ04,Galicia,A Coruña
29TPM12,,
29TPM11,,
29TPM10,,
29TPL19,,
29TPL18,,
29TPL17,,
29TPL16,,
29TPL15,,
29TPL14,,
29TPL13,,
29TPL12,,
29TPL11,,
29TPL10,,
29TPK19,,
29TPK18,,
29TPK17,,
29TPK16,,
29TPK15,,
29TPK14,,
29TPK13,,
29TPK12,,
29TPK11,,
29TPK10,,
29TPJ19,,
29TPJ18,,
29TPJ17,,
29TPJ16,,
29TPJ15,,
29TPJ14,Galicia,Lugo
29TPM22,,
29TPM21,,
29TPM31,,
29TPM41,,
29TPM20,,
29TPM30,,
29TPM40,,
29TPM50,,
29TPM60,,
29TPM70,,
29TPL29,,
29TPL39,,
29TPL49,,
29TPL59,,
29TPL69,,
29TPL79,,
29TPL89,,
29TPL99,,
29TPL28,,
29TPL38,,
29TPL48,,
29TPL58,,
29TPL68,,
29TPL78,,
29TPL88,,
29TPL98,,
29TPL27,,
29TPL37,,
29TPL47,,
29TPL57,,
29TPL67,,
29TPL77,,
29TPL87,,
29TPL97,,
29TPL26,,
29TPL36,,
29TPL46,,
29TPL56,,
29TPL66,,
29TPL76,,
29TPL86,,
29TPL96,,
29TPL25,,
29TPL35,,
29TPL45,,
29TPL55,,
29TPL65,,
29TPL75,,
29TPL85,,
29TPL95,,
29TPL24,,
29TPL34,,
29TPL44,,
29TPL54,,
29TPL64,,
29TPL74,,
29TPL84,,
29TPL94,,
29TPL23,,
29TPL33,,
29TPL43,,
29TPL53,,
29TPL63,,
29TPL73,,
29TPL83,,
29TPL93,,
29TPL22,,
29TPL32,,
29TPL42,,
29TPL52,,
29TPL62,,
29TPL72,,
29TPL82,,
29TPL21,,
29TPL31,,
29TPL41,,
29TPL51,,
29TPL61,,
29TPL71,,
29TPL81,,
29TPL20,,
29TPL30,,
29TPL40,,
29TPL50,,
29TPL60,,
29TPL70,,
29TPL80,,
29TPK29,,
29TPK39,,
29TPK49,,
29TPK59,,
29TPK69,,
29TPK79,,
29TPK89,,
29TPK28,,
29TPK38,,
29TPK48,,
29TPK58,,
29TPK68,,
29TPK78,,
29TPK88,,
29TPK27,,
29TPK37,,
29TPK47,,
29TPK57,,
29TPK67,,
29TPK77,,
29TPK87,,
29TPK26,,
29TPK36,,
29TPK46,,
29TPK56,,
29TPK66,,
29TPK76,,
29TPK86,,
29TPK25,,
29TPK35,,
29TPK45,,
29TPK55,,
29TPK65,,
29TPK75,,
29TPK85,,
29TPK24,,
29TPK34,,
29TPK44,,
29TPK54,,
29TPK64,,
29TPK74,,
29TPK84,,
29TPK23,,
29TPK33,,
29TPK43,,
29TPK53,,
29TPK63,,
29TPK73,,
29TPK22,,
29TPK32,,
29TPK42,,
29TPK52,,
29TPK62,,
29TPK72,,
29TPK21,,
29TPK31,,
29TPK41,,
29TPK51,,
29TPK61,,
29TPK71,,
29TPK20,,
29TPK30,,
29TPK40,,
29TPK50,,
29TPK60,,
29TPK70,,
29TPJ29,,
29TPJ39,,
29TPJ49,,
29TPJ59,,
29TPJ69,,
29TPJ79,,
29TPJ28,,
29TPJ38,,
29TPJ48,,
29TPJ58,,
29TPJ68,,
29TPJ27,,
29TPJ37,,
29TPJ47,,
29TPJ57,,
29TPJ67,,
29TPJ26,,
29TPJ36,,
29TPJ46,,
29TPJ56,,
29TPJ25,,
29TPJ35,,
29TPJ45,,
29TPJ24,Galicia,Lugo
29TPJ34,,
29TMK72,,
29TMK81,,
29TMK90,,
29TMJ99,,
29TNJ09,,
29TNJ08,,
29TNJ18,,
29TNJ17,,
29TNJ27,,
29TNJ26,,
29TNJ36,,
29TNJ35,,
29TNJ45,,
29TNJ44,,
29TNJ54,,
29TNJ53,,
29TNJ63,Galicia,A Coruña
29TNJ73,Galicia,A Coruña
29TNJ83,Galicia,A Coruña
29TNJ93,Galicia,A Coruña
29TPJ03,Galicia,Lugo
29TPJ03,Galicia,A Coruña
29TPJ13,Galicia,Lugo
29TPJ23,Galicia,Lugo
29TPJ55,,
29TPJ44,,
29TPJ33,Galicia,Lugo
29TPJ43,,
29TNJ07,,
29TNJ16,,
29TNJ15,,
29TNJ25,,
29TNJ24,,
29TNJ34,,
29TNJ23,,
29TNJ33,,
29TNJ43,,
29TNJ32,,
29TNJ42,,
29TNJ52,Galicia,A Coruña
29TNJ62,Galicia,A Coruña
29TNJ72,Galicia,A Coruña
29TNJ82,Galicia,A Coruña
29TQL09,,
29TQL08,,
29TQL18,,
29TQL28,,
29TQL07,,
29TQL17,,
29TQL27,,
29TQL06,,
29TQL16,,
29TQL26,,
29TQL05,,
29TQL15,,
29TQL25,,
29TQL04,,
29TQL14,,
29TQL24,,
29TQL03,,
29TQL13,,
29TQL23,,
29TPL92,,
29TQL02,,
29TQL12,,
29TQL22,,
29TPL91,,
29TQL01,,
29TQL11,,
29TQL21,,
29TPL90,,
29TQL00,,
29TQL10,,
29TQL20,,
29TPK99,,
29TQK09,,
29TQK19,,
29TQK29,,
29TPK98,,
29TQK08,,
29TQK18,,
29TQK28,,
29TPK97,,
29TQK07,,
29TQK17,,
29TQK27,,
29TPK96,,
29TQK06,,
29TQK16,,
29TQK26,,
29TPK95,,
29TQK05,,
29TQK15,,
29TQK25,,
29TPK94,,
29TQK04,,
29TQK14,,
29TQK24,,
29TPK83,,
29TPK93,,
29TQK03,,
29TQK13,,
29TQK23,,
29TPK82,,
29TPK92,,
29TQK02,,
29TQK12,,
29TQK22,,
29TPK81,,
29TPK91,,
29TQK01,,
29TQK11,,
29TQK21,,
29TPK80,,
29TPK90,,
29TQK00,,
29TQK10,,
29TQK20,,
29TPJ99,,
29TQJ09,,
29TQJ19,,
29TQJ29,,
29TPJ98,,
29TQJ08,,
29TQJ18,,
29TQJ28,,
29TPJ97,,
29TQJ07,,
29TQJ17,,
29TQJ27,,
29TQJ06,,
29TQJ16,,
29TQJ26,,
29TQJ05,,
29TQJ15,,
29TQJ25,,
29TQJ14,,
29TQJ24,,
29TQJ13,,
29TQJ23,Principado de Asturias,Asturias
29TNJ92,Galicia,A Coruña
29TQK36,,
29TQK35,,
29TQK34,,
29TQK33,,
29TQK32,,
29TQK31,,
29TQK30,,
29TQJ39,,
29TQJ38,,
29TQJ37,,
29TQJ36,,
29TQJ35,,
29TQJ34,,
29TQJ33,,
29TPJ02,Galicia,Lugo
29TPJ02,Galicia,A Coruña
29TQJ49,,
30TTP59,,
29TQJ48,,
30TTP58,,
29TQJ47,,
30TTP57,,
29TQJ46,,
30TTP56,,
29TQJ45,,
30TTP55,,
29TQJ44,,
30TTP54,,
29TQJ43,,
30TTP53,,
29TQL38,,
30TTR68,,
29TQL37,,
30TTR67,,
29TQL36,,
30TTR66,,
29TQL35,,
30TTR65,,
29TQL34,,
30TTR64,,
29TQL33,,
30TTR63,,
29TQL32,,
30TTR62,,
29TQL31,,
30TTR61,,
29TQL30,,
30TTR60,,
29TQK39,,
30TTQ69,,
29TQK38,,
30TTQ68,,
29TQK37,,
30TTQ67,,
30TTQ66,,
30TTQ65,,
30TTQ64,,
30TTQ63,,
30TTQ62,,
30TTQ61,,
30TTQ60,,
30TTP69,,
30TTP68,,
30TTP67,,
30TTP66,,
30TTP65,,
30TTP64,,
30TTP63,Principado de Asturias,Asturias
30TTR78,,
30TTR88,,
30TUR07,,
30TTR87,,
30TTR97,,
30TUR17,,
30TTR77,,
30TUR06,,
30TUR36,,
30TTR76,,
30TUR26,,
30TTR96,,
30TUR16,,
30TTR86,,
30TTR95,,
30TUR25,,
30TTR75,,
30TUR15,,
30TUR05,,
30TUR45,,
30TUR35,,
30TTR85,,
30TUR34,,
30TTR74,,
30TUR44,,
30TUR14,,
30TUR24,,
30TTR84,,
30TTR94,,
30TUR04,,
30TTR73,,
30TUR13,,
30TUR43,,
30TUR33,,
30TTR83,,
30TTR93,,
30TUR23,,
30TUR03,,
30TTR82,,
30TUR22,,
30TUR32,,
30TUR12,,
30TUR02,,
30TUR42,,
30TTR72,,
30TTR92,,
30TUR11,,
30TTR71,,
30TTR91,,
30TUR31,,
30TUR01,,
30TUR21,,
30TTR81,,
30TUR10,,
30TTR90,,
30TTR80,,
30TUR00,,
30TUR20,,
30TTR70,,
30TUR30,,
30TTQ99,,
30TTQ89,,
30TUQ39,,
30TUQ29,,
30TUQ09,,
30TTQ79,,
30TUQ19,,
30TTQ88,,
30TUQ28,,
30TUQ08,,
30TUQ38,,
30TTQ78,,
30TTQ98,,
30TUQ18,,
30TTQ77,,
30TUQ07,,
30TUQ17,,
30TTQ97,,
30TUQ27,,
30TTQ87,,
30TUQ26,,
30TTQ86,,
30TUQ16,,
30TTQ96,,
30TUQ06,,
30TTQ76,,
30TUQ25,,
30TUQ15,,
30TUQ05,,
30TTQ75,,
30TTQ85,,
30TTQ95,,
30TTQ94,,
30TUQ14,,
30TTQ84,,
30TUQ04,,
30TUQ24,,
30TTQ74,,
30TUQ03,,
30TTQ73,,
30TUQ13,,
30TTQ93,,
30TTQ83,,
30TUQ12,,
30TTQ72,,
30TUQ02,,
30TTQ92,,
30TTQ82,,
30TUQ11,,
30TTQ81,,
30TTQ91,,
30TTQ71,,
30TUQ01,,
30TTQ90,,
30TUQ10,,
30TTQ80,,
30TUQ00,,
30TTQ70,,
30TUP09,,
30TTP89,,
30TTP79,,
30TTP99,,
30TTP88,,
30TTP98,,
30TTP78,,
30TUP08,,
30TTP87,,
30TUP07,,
30TTP77,,
30TTP97,,
30TTP76,,
30TTP86,,
30TTP96,,
30TTP95,,
30TTP75,,
30TTP85,,
30TTP74,,
30TTP84,,
30TTP83,,
30TTP73,Principado de Asturias,Asturias
29TPJ12,Galicia,Lugo
29TPJ22,Galicia,Lugo
29TPJ32,Galicia,Lugo
29TPJ42,Galicia,Lugo
29TPJ54,,
29TPJ53,,
29TPJ52,Galicia,Lugo
29TPJ52,Galicia,Asturias
29TPJ52,Principado de Asturias,Lugo
29TPJ52,Principado de Asturias,Asturias
29TPJ66,,
29TPJ65,,
29TPJ64,,
29TPJ63,,
29TPJ62,Principado de Asturias,Asturias
29TPJ78,,
29TPJ77,,
29TPJ76,,
29TPJ75,,
29TPJ74,,
29TPJ73,,
29TPJ72,Principado de Asturias,Asturias
29TPJ89,,
29TPJ88,,
29TPJ87,,
29TPJ86,,
29TPJ85,,
29TPJ84,,
29TPJ83,,
29TPJ82,Principado de Asturias,Asturias
29TNJ41,,
29TNJ51,Galicia,A Coruña
29TPJ96,,
29TPJ95,,
29TPJ94,,
29TPJ93,,
29TPJ92,Principado de Asturias,Asturias
29TNJ61,Galicia,A Coruña
29TQJ04,,
29TQJ03,,
29TQJ02,Principado de Asturias,Asturias
29TNJ71,Galicia,A Coruña
29TQJ12,Principado de Asturias,Asturias
29TNJ81,Galicia,A Coruña
29TQJ22,Principado de Asturias,Asturias
29TNJ91,Galicia,Lugo
29TNJ91,Galicia,A Coruña
29TQJ32,Principado de Asturias,Asturias
29TPJ01,Galicia,Lugo
29TPJ01,Galicia,A Coruña
29TQJ42,Principado de Asturias,Asturias
30TTP52,Principado de Asturias,Asturias
30TTP62,Principado de Asturias,Asturias
30TTP72,Principado de Asturias,Asturias
30TTP82,Principado de Asturias,Asturias
30TTP94,,
30TTP93,,
30TTP92,Principado de Asturias,Asturias
30TUP06,,
30TUP05,,
30TUP04,,
30TUP03,,
30TUP02,Principado de Asturias,Asturias
30TUR55,,
30TUR64,,
30TUR54,,
30TUR83,,
30TUR73,,
30TUR53,,
30TUR63,,
30TUR72,,
30TUR62,,
30TUR52,,
30TUR82,,
30TUR41,,
30TUR81,,
30TUR51,,
30TUR71,,
30TUR61,,
30TUR70,,
30TUR50,,
30TUR60,,
30TUR40,,
30TUQ79,,
30TUQ69,,
30TUQ59,,
30TUQ49,,
30TUQ48,,
30TUQ58,,
30TUQ68,,
30TUQ78,,
30TUQ57,,
30TUQ77,,
30TUQ47,,
30TUQ67,,
30TUQ37,,
30TUQ46,,
30TUQ56,,
30TUQ66,,
30TUQ36,,
30TUQ35,,
30TUQ65,,
30TUQ45,,
30TUQ55,,
30TUQ34,,
30TUQ64,,
30TUQ44,,
30TUQ54,,
30TUQ43,,
30TUQ33,,
30TUQ53,,
30TUQ23,,
30TUQ63,,
30TUQ32,,
30TUQ52,,
30TUQ42,,
30TUQ22,,
30TUQ51,,
30TUQ21,,
30TUQ31,,
30TUQ41,,
30TUQ30,,
30TUQ40,,
30TUQ50,,
30TUQ20,,
30TUP19,,
30TUP39,,
30TUP29,,
30TUP59,,
30TUP49,,
30TUP28,,
30TUP18,,
30TUP38,,
30TUP48,,
30TUP47,,
30TUP37,,
30TUP27,,
30TUP17,,
30TUP46,,
30TUP26,,
30TUP16,,
30TUP36,,
30TUP15,,
30TUP35,,
30TUP25,,
30TUP14,,
30TUP24,,
30TUP34,,
30TUP13,,
30TUP23,,
30TUP22,,
30TUP12,Principado de Asturias,Asturias
29TPJ11,Galicia,Lugo
29TPJ21,Galicia,Lugo
29TPJ31,Galicia,Lugo
29TPJ41,Galicia,Lugo
29TPJ41,Galicia,Asturias
29TPJ41,Principado de Asturias,Lugo
29TPJ41,Principado de Asturias,Asturias
29TLM22,,
29TLM32,,
29TLM11,,
29TLM21,,
29TLM31,,
29TLM41,,
29TKM90,,
29TLM00,,
29TLM10,,
29TLM20,,
29TLM30,,
29TLM40,,
29TLM50,,
29TLL09,,
29TLL19,,
29TLL29,,
29TLL39,,
29TLL49,,
29TLL59,,
29TLL08,,
29TLL18,,
29TLL28,,
29TLL38,,
29TLL48,,
29TLL58,,
29TLL68,,
29TLL17,,
29TLL27,,
29TLL37,,
29TLL47,,
29TLL57,,
29TLL67,,
29TLL77,,
29TLL26,,
29TLL36,,
29TLL46,,
29TLL56,,
29TLL66,,
29TLL76,,
29TLL25,,
29TLL35,,
29TLL45,,
29TLL55,,
29TLL65,,
29TLL75,,
29TLL85,,
29TLL34,,
29TLL44,,
29TLL54,,
29TLL64,,
29TLL74,,
29TLL84,,
29TLL94,,
29TLL43,,
29TLL53,,
29TLL63,,
29TLL73,,
29TLL83,,
29TLL93,,
29TLL42,,
29TLL52,,
29TLL62,,
29TLL72,,
29TLL82,,
29TLL92,,
29TML02,,
29TLL51,,
29TLL61,,
29TLL71,,
29TLL81,,
29TLL91,,
29TML01,,
29TML11,,
29TLL60,,
29TLL70,,
29TLL80,,
29TLL90,,
29TML00,,
29TML10,,
29TLK69,,
29TLK79,,
29TLK89,,
29TLK99,,
29TMK09,,
29TMK19,,
29TMK29,,
29TLK78,,
29TLK88,,
29TLK98,,
29TMK08,,
29TMK18,,
29TMK28,,
29TMK38,,
29TLK87,,
29TLK97,,
29TMK07,,
29TMK17,,
29TMK27,,
29TMK37,,
29TLK86,,
29TLK96,,
29TMK06,,
29TMK16,,
29TMK26,,
29TMK36,,
29TMK46,,
29TLK95,,
29TMK05,,
29TMK15,,
29TMK25,,
29TMK35,,
29TMK45,,
29TMK55,,
29TMK04,,
29TMK14,,
29TMK24,,
29TMK34,,
29TMK44,,
29TMK54,,
29TMK03,,
29TMK13,,
29TMK23,,
29TMK33,,
29TMK43,,
29TMK53,,
29TMK63,,
29TMK12,,
29TMK22,,
29TMK32,,
29TMK42,,
29TMK52,,
29TMK62,,
29TMK21,,
29TMK31,,
29TMK41,,
29TMK51,,
29TMK61,,
29TMK71,,
29TMK20,,
29TMK30,,
29TMK40,,
29TMK50,,
29TMK60,,
29TMK70,,
29TMK80,,
29TMJ39,,
29TMJ49,,
29TMJ59,,
29TMJ69,,
29TMJ79,,
29TMJ89,,
29TMJ48,,
29TMJ58,,
29TMJ68,,
29TMJ78,,
29TMJ88,,
29TMJ98,,
29TMJ47,,
29TMJ57,,
29TMJ67,,
29TMJ77,,
29TMJ87,,
29TMJ97,,
29TMJ56,,
29TMJ66,,
29TMJ76,,
29TMJ86,,
29TMJ96,,
29TNJ06,,
29TMJ65,,
29TMJ75,,
29TMJ85,,
29TMJ95,,
29TNJ05,,
29TMJ64,,
29TMJ74,,
29TMJ84,,
29TMJ94,,
29TNJ04,,
29TNJ14,,
29TMJ73,,
29TMJ83,,
29TMJ93,,
29TNJ03,,
29TNJ13,,
29TMJ82,,
29TMJ92,,
29TNJ02,,
29TNJ12,,
29TNJ22,,
29TMJ91,,
29TNJ01,,
29TNJ11,,
29TNJ21,,
29TNJ00,,
29TNJ10,,
29TNJ20,,
29TPJ51,Galicia,Lugo
29TPJ51,Galicia,Asturias
29TPJ51,Principado de Asturias,Lugo
29TPJ51,Principado de Asturias,Asturias
29TPJ61,Principado de Asturias,Asturias
29TPJ71,Principado de Asturias,Asturias
29TNJ31,,
29TNJ30,,
29TNJ40,Galicia,A Coruña
29TPJ81,Principado de Asturias,Asturias
29TNJ50,Galicia,A Coruña
29TPJ91,Principado de Asturias,Asturias
29TNJ60,Galicia,A Coruña
29TQJ01,Principado de Asturias,Asturias
29TNJ70,Galicia,A Coruña
29TQJ11,Principado de Asturias,Asturias
29TNJ80,Galicia,A Coruña
29TQJ21,Principado de Asturias,Asturias
29TNJ90,Galicia,Lugo
29TNJ90,Galicia,A Coruña
29TQJ31,Principado de Asturias,Asturias
29TPJ00,Galicia,Lugo
29TQJ41,Principado de Asturias,Asturias
30TTP51,Principado de Asturias,Asturias
30TTP61,Principado de Asturias,Asturias
30TTP71,Principado de Asturias,Asturias
30TTP81,Principado de Asturias,Asturias
30TTP91,Principado de Asturias,Asturias
30TUP01,Principado de Asturias,Asturias
30TUP11,Principado de Asturias,Asturias
30TUP21,Principado de Asturias,Asturias
30TUP33,,
30TUP32,,
30TUP31,Principado de Asturias,Asturias
30TUP45,,
30TUP44,,
30TUP43,,
30TUP42,,
30TUP41,Principado de Asturias,Asturias
30TUQ76,,
30TUQ75,,
30TUQ74,,
30TUQ73,,
30TUQ72,,
30TUQ62,,
30TUQ61,,
30TUQ71,,
30TUQ60,,
30TUQ70,,
30TUP69,,
30TUP79,,
30TUP78,,
30TUP58,,
30TUP68,,
30TUP77,,
30TUP57,,
30TUP67,,
30TUP56,,
30TUP76,,
30TUP66,,
30TUP65,,
30TUP75,,
30TUP55,,
30TUP64,,
30TUP74,,
30TUP54,,
30TUP63,,
30TUP53,,
30TUP73,,
30TUP52,,
30TUP62,,
30TUP61,,
30TUP51,Principado de Asturias,Asturias
30TUR92,,
30TVR02,,
30TVR01,,
30TUR91,,
30TVR11,,
30TVR00,,
30TUR80,,
30TUR90,,
30TVR10,,
30TVQ19,,
30TUQ99,,
